Workout Timestamp,Live/On-Demand,Instructor Name,Length (minutes),Fitness Discipline,Type,Title,Class Timestamp,Total Output,Avg. Watts,Avg. Resistance,Avg. Cadence (RPM),Avg. Speed (mph),Distance (mi),Calories Burned,Avg. Heartrate,Avg. Incline,Avg. Pace (min/mi)
2026-02-09 13:47 (-06),On Demand,Matt Wilpers,30,Running,Music,30 min 2000s Run,2026-02-05 05:25 (-06),524,,,,6.60,3.30,478,,1.36,9:06
2026-02-11 05:03 (-06),On Demand,Jermaine Johnson,5,Stretching,Pre-Run Stretch,5 min Pre-Run Warm Up,2025-09-24 22:00 (-06),,,,,,,26,77.24,,
2026-02-11 05:09 (-06),On Demand,Matt Wilpers,20,Running,Intervals,20 min HIIT & Hills Run,2026-01-29 05:26 (-06),367,,,,6.85,2.29,258,133.52,1.59,8:46
2026-02-11 05:29 (-06),On Demand,Matt Wilpers,20,Running,Music,20 min EDM Run,2026-01-29 05:55 (-06),371,,,,6.86,2.29,296,149.95,1.83,8:45
2026-02-11 05:51 (-06),On Demand,Matt Wilpers,5,Stretching,Post-Run Stretch,5 min Post-Run Stretch,2026-01-07 23:00 (-06),,,,,,,37,104.39,,
2026-02-12 20:00 (-06),On Demand,Jon Hosking,15,Walking,Hiking,15 min Hike,2026-02-03 13:25 (-06),197,,,,3.88,0.97,179,,,
2026-02-12 20:16 (-06),On Demand,Becs Gentry,20,Running,Endurance,20 min Endurance Run,2026-02-10 05:24 (-06),365,,,,7.06,2.36,333,,0.89,8:30
2026-02-12 20:38 (-06),On Demand,Kirsten Ferguson,5,Stretching,Post-Run Stretch,5 min Post-Run Stretch,2026-02-11 23:00 (-06),,,,,,,16,,,
2026-02-13 10:51 (-06),On Demand,Becs Gentry,30,Running,Intervals,30 min Intervals Run,2026-02-12 10:26 (-06),576,,,,7.42,3.71,418,143.54,0.89,8:05
2026-02-13 11:23 (-06),On Demand,Alex Karwoski,15,Running,Intervals,15 min HIIT Run,2026-02-09 23:00 (-06),271,,,,7.06,1.79,235,154.99,0.50,8:30
2026-02-13 11:39 (-06),On Demand,Matt Wilpers,5,Stretching,Post-Run Stretch,5 min Post-Run Stretch,2025-06-18 22:00 (-06),,,,,,,39,114.45,,
2026-02-18 05:38 (-06),On Demand,Denis Morton,20,Yoga,Flow,20 min Yoga Flow,2025-08-15 22:00 (-06),,,,,,,89,,,
2026-02-19 05:11 (-06),On Demand,Matt Wilpers,30,Running,Endurance,30 min Endurance Run,2026-02-12 05:24 (-06),550,,,,6.86,3.42,394,139.17,1.61,8:45
2026-02-19 05:45 (-06),On Demand,Jermaine Johnson,15,Running,Music,15 min Pop Punk Run,2026-02-07 23:00 (-06),272,,,,7.16,1.79,228,154.12,0.50,8:23
2026-02-19 21:08 (-06),On Demand,Anna Greenberg,5,Meditation,Sleep,5 min Sleep Meditation,2024-07-11 09:00 (-06),,,,,,,,,,
2026-02-21 10:09 (-06),On Demand,Jon Hosking,5,Running,Warm Up,5 min Warm Up Run,2025-11-17 23:00 (-06),79,,,,6.16,0.52,45,109.16,0.50,9:44
2026-02-21 10:17 (-06),On Demand,Joslyn Thompson Rule,20,Running,Speed,20 min Hills Run,2026-02-17 23:00 (-06),392,,,,6.76,2.26,280,144.80,3.07,8:52
2026-02-21 10:39 (-06),On Demand,Becs Gentry,30,Running,Endurance,30 min Progression Run,2026-02-20 05:25 (-06),568,,,,7.48,3.74,474,156.41,0.50,8:01
2026-02-21 11:10 (-06),On Demand,Kirsten Ferguson,5,Running,Cool Down,5 min Cool Down Run,2026-01-12 23:00 (-06),74,,,,5.92,0.49,73,149.49,0.50,10:08
2026-02-21 11:16 (-06),On Demand,Matt Wilpers,5,Stretching,Post-Run Stretch,5 min Post-Run Stretch,2026-01-07 23:00 (-06),,,,,,,46,114.86,,
